,addr,scp,car_sum
570,[93 87],8.077516511509376,6.0
571,[95 43],4.912084898693264,2.0
572,[61 32],6.699756588416671,4.0
573,[66 95],9.554829813173713,6.0
574,[35 85],6.004390999291166,4.0
575,[93 26],3.362641674286909,2.0
576,[44 67],6.682336523775409,4.0
578,[93 21],5.453197239401523,4.0
579,[15 47],4.307424109067445,2.0
580,[15 49],4.891238878453417,3.0
582,[27 51],3.4823439621957757,2.0
583,[73 40],3.7500248786206005,3.0
584,[0 8],12.367659574054837,8.0
585,[94 41],3.383590019735335,2.0
587,[ 8 41],6.397274374673017,4.0
588,[29 86],3.721463479609217,3.0
590,[13 32],6.923908733451313,4.0
591,[88 76],4.8186842510573245,4.0
598,[44 31],15.043960949065884,10.0
599,[26 32],4.66979831882715,3.0
600,[61 77],11.305434192368697,8.0
603,[78 60],13.753609061861995,8.0
604,[77 98],7.134773260037395,4.0
605,[95 14],7.586223866140312,5.0
606,[55 90],5.9503854780058285,4.0
607,[1 7],4.908917911167631,3.0
608,[82 97],6.529691432891372,4.0
609,[94  3],4.572430328747245,3.0
610,[35 47],15.84989622552617,10.0
612,[24 52],4.393203812955814,3.0
613,[96 77],12.055136615205239,7.0
614,[ 0 36],8.892560046522075,7.0
615,[18 54],4.962206429305815,3.0
616,[27 98],12.611183392202296,8.0
617,[74  1],6.277694398587283,4.0
618,[64 52],4.286239232374991,4.0
619,[96 45],4.013050913199244,3.0
620,[49 89],3.2413534674890885,3.0
621,[77  1],3.8423532516739116,2.0
624,[27 86],4.941132836465373,2.0
625,[20 55],4.31275694508048,3.0
626,[70 48],4.136610357430326,2.0
627,[55 79],9.406111455067633,6.0
628,[10 35],3.1102541079988537,2.0
629,[92 42],6.027667152702225,4.0
630,[79 21],7.499335941254172,4.0
631,[19 47],6.301031162973651,3.0
633,[42 33],8.842388734810877,6.0
634,[86 36],8.09078334079608,5.0
635,[ 5 91],6.413647476839975,4.0
636,[97 94],5.139669583089299,3.0
637,[ 0 78],3.2824467308571177,3.0
638,[92 60],11.292219674524446,7.0
640,[43 35],7.971227517216042,6.0
642,[ 9 52],6.317844987633638,4.0
644,[68 42],6.147409962936039,4.0
645,[ 4 88],5.161825075720585,3.0
646,[56 98],3.9302980599579844,3.0
647,[62 53],3.553086018665538,2.0
648,[41 41],4.830738452465194,3.0
649,[ 1 59],9.176291541605433,6.0
650,[49 92],3.5557479004862036,2.0
652,[ 9 54],4.044428828230924,2.0
653,[ 8 39],6.040154141583268,4.0
654,[63 70],6.76700325722319,4.0
657,[59 86],7.751428807710105,6.0
658,[27 46],16.760683867374354,10.0
659,[54 72],3.3462388743218776,2.0
661,[94 45],4.890062569715118,3.0
663,[40 36],12.60778678542181,8.0
664,[84 13],3.2209212576497217,2.0
665,[ 2 97],5.807937577076953,4.0
666,[65 96],9.53382808110821,6.0
668,[22 22],4.641859744888351,3.0
669,[92 12],6.281860599619717,4.0
670,[94 74],4.807998688473145,3.0
671,[ 3 47],10.94765911038806,8.0
673,[69 71],6.8157681599216975,5.0
675,[81 23],3.865284645777289,3.0
676,[93 19],3.153591631033109,2.0
681,[70 27],8.613115139544593,6.0
682,[78 99],6.633846862741295,4.0
683,[72 95],3.551801761669436,2.0
684,[59 46],7.793487209509699,4.0
686,[95 41],3.0276712902624734,2.0
687,[38 63],8.117865746657598,6.0
688,[ 6 96],5.218423889792981,4.0
690,[ 5 51],18.62255021938857,12.0
692,[16 79],3.751774189786391,3.0
693,[81 15],3.4404631264385594,2.0
694,[15 85],4.871531785878273,3.0
695,[53 30],3.6860951391853094,2.0
696,[46 84],4.066869051730893,3.0
